unit_id,session_id,cell_type,brain_area,channel,quality,genotype
950913470,715093703,Sst,grey,850262746,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913506,715093703,Sst,grey,850262750,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913567,715093703,Sst,grey,850262754,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913547,715093703,Sst,grey,850262754,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913537,715093703,Sst,grey,850262752,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913527,715093703,Sst,grey,850262752,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913517,715093703,Sst,grey,850262752,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913588,715093703,Sst,grey,850262756,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913676,715093703,Sst,grey,850262762,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913652,715093703,Sst,grey,850262762,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913684,715093703,Sst,grey,850262764,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913766,715093703,Sst,grey,850262770,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913796,715093703,Sst,grey,850262778,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913850,715093703,Sst,grey,850262782,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913806,715093703,Sst,grey,850262780,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950920777,715093703,Sst,grey,850262786,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950920756,715093703,Sst,grey,850262786,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913893,715093703,Sst,grey,850262786,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913877,715093703,Sst,grey,850262788,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950921709,715093703,Sst,grey,850262794,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913929,715093703,Sst,grey,850262794,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913921,715093703,Sst,grey,850262794,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
950913908,715093703,Sst,grey,850262794,unknown,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt
